domain,ml_probability,ai_is_phishing,ai_confidence,ai_risk_level,processing_time,worker_id,error,source,y_true,stage1_pred,tld,error_type,domain_part,domain_length,ml_category,is_dangerous_tld,sda_issues,sda_risk_score,sda_reasoning,sda_domain_length,sda_tld_category,brand_issues,brand_risk_score,brand_detected,brand_reasoning,cert_issues,cert_benign_indicators,cert_risk_score,cert_issuer,cert_san_count,cert_has_crl_dp,cert_reasoning,ctx_issues,ctx_risk_score,ctx_reasoning
blnk.lat,0.021247288,True,0.6458333333333334,medium-high,51.19681143760681,0,,trusted,0,0,lat,FP,blnk,4,very_low,True,"short,dangerous_tld,random_pattern,short_random_combo",0.55,短い(4文字) / 危険TLD(lat) / ランダム指標(母音率=0.00<0.15) / short + (high_entropy/random_pattern) コンボ,4,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
tsnn.com,0.14075853,True,0.75,high,9.200684070587158,0,,trusted,0,0,com,FP,tsnn,4,low,False,"short,random_pattern",0.30000000000000004,短い(4文字) / ランダム指標(母音率=0.00<0.2),4,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,3,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
1mm.cc,0.043818887,True,0.75,high,9.350626945495604,0,,trusted,0,0,cc,FP,1mm,3,very_low,True,"very_short,dangerous_tld,random_pattern,very_short_dangerous_combo",0.75,非常に短い(3文字) / 危険TLD(cc) / ランダム指標(母音率=0.00<0.15) / very_short + dangerous_tld コンボ,3,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"no_org,short_term",,0.12,"TrustAsia Technologies, Inc.",2,False,"No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: TrustAsia Technologies, Inc. || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.",,0.0,
hot-th.com,0.16499744,True,0.75,high,9.47123908996582,0,,trusted,0,0,com,FP,hot-th,6,low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.17<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
doublefine.com,0.53169066,True,0.85,high,4.888085603713989,0,,trusted,0,1,com,FP,doublefine,10,high,False,,0.0,短いドメインの顕著な問題なし,10,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
kmhyfs.com,0.18576917,True,0.75,high,4.975765228271484,0,,trusted,0,0,com,FP,kmhyfs,6,low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.00<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
h2.live,0.047536213,True,0.85,high,5.506410360336304,0,,trusted,0,0,live,FP,h2,2,very_low,True,"very_short,dangerous_tld,very_short_dangerous_combo",0.6,非常に短い(2文字) / 危険TLD(live) / very_short + dangerous_tld コンボ,2,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
fb88com.lat,0.027015468,True,0.75,high,9.358484268188477,0,,trusted,0,0,lat,FP,fb88com,7,very_low,True,"dangerous_tld,random_pattern",0.45,危険TLD(lat) / ランダム指標(母音率=0.14<0.15),7,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
changing-cities.org,0.29129332,True,0.85,high,3.821130990982056,0,,trusted,0,0,org,FP,changing-cities,15,low,False,,0.0,短いドメインの顕著な問題なし,15,legitimate,"brand_detected,brand_substring,brand_tld_mismatch,critical_brand",0.4,"citi (substring),citi (compound)","ブランド候補 citi (substring), citi (compound) を含むドメイン構造を検出","free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,1,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
craftcms.com,0.7836217,True,0.85,high,8.839559316635132,0,,trusted,0,1,com,FP,craftcms,8,high,False,random_pattern,0.2,ランダム指標(母音率=0.12<0.2),8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
purdys.com,0.0773574,True,0.85,high,9.091603994369509,0,,trusted,0,0,com,FP,purdys,6,very_low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.17<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,3,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
jeuxonline.info,0.80056655,True,0.80056655,high,9.568579196929932,0,,trusted,0,1,info,FP,jeuxonline,10,high,True,dangerous_tld,0.25,"危険TLD(info) / 正規ドメインホワイトリスト一致(None, conf=0.88) によりリスク軽減",10,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,legitimate_domain_mitigation",,0.385,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Domain is in legitimate whitelist; certificate risk mitigated / Issuer: Let's Encrypt,,0.0,
glen-l.com,0.07935216,True,0.85,high,9.092511892318726,0,,trusted,0,0,com,FP,glen-l,6,very_low,False,"short,random_pattern",0.30000000000000004,短い(6文字) / ランダム指標(母音率=0.17<0.2),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"no_org,benign_cert_mitigation",long_validity,0.0,"DigiCert, Inc.",2,False,"No organization (O=) field in subject | BENIGN: Long validity (364 days) / Certificate risk mitigated by benign indicators / Issuer: DigiCert, Inc. || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [CA TRUSTED] Premium CA (DigiCert/GlobalSign/Entrust): Paid certificate. Rarely used by phishing sites due to cost and verification. | [VALIDITY SAFE] Extended validity (364 days). Often indicates paid certificate. Slightly more trustworthy.",,0.0,
jss2q.xyz,0.40650287,True,0.75,high,8.998648405075073,0,,trusted,0,0,xyz,FP,jss2q,5,medium,True,"short,dangerous_tld,random_pattern,short_random_combo",0.55,短い(5文字) / 危険TLD(xyz) / ランダム指標(母音率=0.00<0.15) / short + (high_entropy/random_pattern) コンボ,5,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
clonidine.cyou,0.047832616,True,0.55,medium-high,9.534368991851808,0,,trusted,0,0,cyou,FP,clonidine,9,very_low,True,dangerous_tld,0.25,危険TLD(cyou),9,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
educationalappstore.com,0.21319939,True,0.75,high,3.628050565719605,0,,trusted,0,0,com,FP,educationalappstore,19,low,False,,0.0,短いドメインの顕著な問題なし,19,legitimate,"brand_detected,brand_compound,brand_tld_mismatch,critical_brand",0.4,appstore (compound),ブランド候補 appstore (compound) を含むドメイン構造を検出,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
swifterm.com,0.10352564,True,0.75,high,3.660376310348511,0,,trusted,0,0,com,FP,swifterm,8,low,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,"brand_detected,brand_substring,brand_tld_mismatch,critical_brand",0.4,swift (substring),ブランド候補 swift (substring) を含むドメイン構造を検出,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
twincities.com,0.22891214,True,0.75,high,4.534859895706177,0,,trusted,0,0,com,FP,twincities,10,low,False,,0.0,"正規ドメインホワイトリスト一致(None, conf=0.88) によりリスク軽減",10,legitimate,"brand_detected,brand_substring,brand_tld_mismatch,critical_brand",0.4,citi (substring),ブランド候補 citi (substring) を含むドメイン構造を検出,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,legitimate_domain_mitigation",,0.385,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Domain is in legitimate whitelist; certificate risk mitigated / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
hermesonlineshop.com,0.059766553,True,0.85,high,3.46812105178833,0,,trusted,0,0,com,FP,hermesonlineshop,16,very_low,False,,0.0,短いドメインの顕著な問題なし,16,legitimate,"brand_detected,brand_compound,brand_tld_mismatch,critical_brand",0.4,hermes (compound),ブランド候補 hermes (compound) を含むドメイン構造を検出,"no_org,benign_cert_mitigation","has_crl_dp,long_validity",0.0,"GoDaddy.com, Inc.",3,True,"No organization (O=) field in subject | BENIGN: Has CRL Distribution Points / Long validity (365 days) / Certificate risk mitigated by benign indicators / Issuer: GoDaddy.com, Inc. || INTERPRETATIONS: [VALIDITY SAFE] Extended validity (365 days). Often indicates paid certificate. Slightly more trustworthy.",,0.0,
qr61.cn,0.15486534,True,0.85,high,9.41154646873474,0,,trusted,0,0,cn,FP,qr61,4,low,True,"short,dangerous_tld,no_vowel_dangerous_tld",0.5,短い(4文字) / 危険TLD(cn),4,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"no_org,benign_cert_mitigation",long_validity,0.0,DigiCert Inc,2,False,No organization (O=) field in subject | BENIGN: Long validity (365 days) / Certificate risk mitigated by benign indicators / Issuer: DigiCert Inc || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [CA TRUSTED] Premium CA (DigiCert/GlobalSign/Entrust): Paid certificate. Rarely used by phishing sites due to cost and verification. | [VALIDITY SAFE] Extended validity (365 days). Often indicates paid certificate. Slightly more trustworthy.,,0.0,
vl.no,0.0633554,True,0.75,high,4.606925964355469,0,,trusted,0,0,no,FP,vl,2,very_low,False,"very_short,random_pattern",0.5,非常に短い(2文字) / ランダム指標(母音率=0.00<0.2) || [CCTLD CONTEXT] .no is the country-code TLD for Norway. Short domains (2 chars) are common on ccTLDs for government/corporate abbreviations. This context should reduce suspicion of random_pattern detection.,2,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
vd2t2.com,0.05438605,True,0.75,high,4.721337080001831,0,,trusted,0,0,com,FP,vd2t2,5,very_low,False,"short,random_pattern",0.30000000000000004,短い(5文字) / ランダム指標(母音率=0.00<0.2),5,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,"CLOUDFLARE, INC.",2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: CLOUDFLARE, INC. || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.",,0.0,
rskrf.ru,0.56774175,True,0.75,high,9.335179567337036,0,,trusted,0,1,ru,FP,rskrf,5,high,False,"short,random_pattern",0.30000000000000004,"短い(5文字) / ランダム指標(母音率=0.00<0.2) / 正規ドメインホワイトリスト一致(None, conf=0.88) によりリスク軽減 || [CCTLD CONTEXT] .ru is the country-code TLD for Russia. Short domains (5 chars) are common on ccTLDs for government/corporate abbreviations. This context should reduce suspicion of random_pattern detection.",5,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,legitimate_domain_mitigation",,0.385,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Domain is in legitimate whitelist; certificate risk mitigated / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
xn--80aafed7bfr.xn--p1ai,0.11461904,True,0.75,high,5.219511270523071,0,,trusted,0,0,xn--p1ai,FP,xn--80aafed7bfr,15,low,False,digit_mixed_random,0.2,短いドメインの顕著な問題なし,15,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
drdoxycycline.online,0.26210532,True,0.75,high,9.421626329421995,0,,trusted,0,0,online,FP,drdoxycycline,13,low,True,"dangerous_tld,consonant_cluster_random",0.45,危険TLD(online) / 子音クラスター検出(2個),13,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,free_ca_no_org,benign_cert_mitigation",long_validity,0.32,Sectigo Limited,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject | BENIGN: Long validity (365 days) / Certificate risk mitigated by benign indicators / Issuer: Sectigo Limited || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [VALIDITY SAFE] Extended validity (365 days). Often indicates paid certificate. Slightly more trustworthy.,,0.0,
