domain,ml_probability,ai_is_phishing,ai_confidence,ai_risk_level,processing_time,worker_id,error,source,y_true,stage1_pred,tld,error_type,domain_part,domain_length,ml_category,is_dangerous_tld,sda_issues,sda_risk_score,sda_reasoning,sda_domain_length,sda_tld_category,brand_issues,brand_risk_score,brand_detected,brand_reasoning,cert_issues,cert_benign_indicators,cert_risk_score,cert_issuer,cert_san_count,cert_has_crl_dp,cert_reasoning,ctx_issues,ctx_risk_score,ctx_reasoning
uni.su,0.051371563,False,0.85,low,9.17393922805786,0,,phishtank,1,0,su,FN,uni,3,very_low,False,very_short,0.3,非常に短い(3文字),3,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,wildcard_cert",0.30000000000000004,Let's Encrypt,2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Wildcard cert (non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [WILDCARD SAFE] Wildcard certificate (*.domain): 55.1% of benign sites use this, but only 1.5% of phishing sites. Strong benign indicator.",,0.0,
appensmese.com,0.31805122,False,0.75,low,4.988004922866821,0,,jpcert,1,0,com,FN,appensmese,10,medium,False,,0.0,短いドメインの顕著な問題なし,10,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
ssbhotel.com,0.515677,False,0.75,low,4.445957660675049,0,,certificates,1,1,com,FN,ssbhotel,8,high,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,4,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
dizhugou.com,0.15104137,False,0.85,low,5.076993942260742,0,,certificates,1,0,com,FN,dizhugou,8,low,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,3,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
yof360.com,0.45540276,False,0.75,low,9.045621633529665,0,,certificates,1,0,com,FN,yof360,6,medium,False,short,0.1,短い(6文字),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,high_san_count",0.28,Let's Encrypt,90,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / High SAN count (90, non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt",,0.0,
mfgf.hu,0.040045224,False,0.6,low,4.60497522354126,0,,jpcert,1,0,hu,FN,mfgf,4,very_low,False,"short,random_pattern",0.30000000000000004,短い(4文字) / ランダム指標(母音率=0.00<0.2) || [CCTLD CONTEXT] .hu is the country-code TLD for Hungary. Short domains (4 chars) are common on ccTLDs for government/corporate abbreviations. This context should reduce suspicion of random_pattern detection.,4,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
tile-machine.com,0.10168255,False,0.85,low,4.739991188049316,0,,jpcert,1,0,com,FN,tile-machine,12,low,False,,0.0,短いドメインの顕著な問題なし,12,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
gbswz.cn,0.6995671,False,0.75,medium,9.18014430999756,0,,jpcert,1,1,cn,FN,gbswz,5,high,True,"short,dangerous_tld,random_pattern,rare_bigram_random,short_random_combo",0.6000000000000001,短い(5文字) / 危険TLD(cn) / ランダム指標(母音率=0.00<0.15) / レアバイグラム検出(比率=0.250) / short + (high_entropy/random_pattern) コンボ,5,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Google Trust Services,2,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (90 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Google Trust Services || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
marwawater.com,0.06063233,False,0.85,low,4.232756614685059,0,,phishtank,1,0,com,FN,marwawater,10,very_low,False,,0.0,短いドメインの顕著な問題なし,10,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,wildcard_cert",0.30000000000000004,Let's Encrypt,2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Wildcard cert (non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [WILDCARD SAFE] Wildcard certificate (*.domain): 55.1% of benign sites use this, but only 1.5% of phishing sites. Strong benign indicator.",,0.0,
capitalprowealthonline.com,0.040966697,False,0.85,low,4.967272996902466,0,,phishtank,1,0,com,FN,capitalprowealthonline,22,very_low,False,,0.0,短いドメインの顕著な問題なし,22,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,wildcard_cert",0.30000000000000004,Let's Encrypt,2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Wildcard cert (non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [WILDCARD SAFE] Wildcard certificate (*.domain): 55.1% of benign sites use this, but only 1.5% of phishing sites. Strong benign indicator.",,0.0,
huikaiju.com,0.4205208,False,0.75,low,9.200355052947998,0,,certificates,1,0,com,FN,huikaiju,8,medium,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
maxiang6.com,0.061588347,False,0.85,low,8.796582221984863,0,,jpcert,1,0,com,FN,maxiang6,8,very_low,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,3,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
veridirekt2.net,0.38851228,False,0.75,medium,8.989373207092285,0,,phishtank,1,0,net,FN,veridirekt2,11,medium,False,,0.0,短いドメインの顕著な問題なし,11,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
fifelaw.co.uk,0.35185304,False,0.75,low,9.200149536132812,0,,phishtank,1,0,uk,FN,fifelaw,7,medium,False,,0.0,短いドメインの顕著な問題なし,7,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,free_ca_no_org,benign_cert_mitigation",long_validity,0.32,Sectigo Limited,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject | BENIGN: Long validity (365 days) / Certificate risk mitigated by benign indicators / Issuer: Sectigo Limited || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [VALIDITY SAFE] Extended validity (365 days). Often indicates paid certificate. Slightly more trustworthy.,,0.0,
gregphillipslaw.com,0.30128586,False,0.85,low,9.075263738632202,0,,jpcert,1,0,com,FN,gregphillipslaw,15,medium,False,,0.0,短いドメインの顕著な問題なし,15,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,1,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
jucreditzc.com,0.13192417,False,0.75,low,5.008244514465332,0,,jpcert,1,0,com,FN,jucreditzc,10,low,False,,0.0,短いドメインの顕著な問題なし,10,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
cberk.com,0.47206008,False,0.75,low,9.493157148361206,0,,jpcert,1,0,com,FN,cberk,5,medium,False,short,0.1,短い(5文字),5,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,5,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
ylucc.com,0.141066,False,0.75,low,9.425600290298462,0,,jpcert,1,0,com,FN,ylucc,5,low,False,short,0.1,短い(5文字),5,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
au-osteopath.com,0.3677587,False,0.85,low,8.806925296783447,0,,jpcert,1,0,com,FN,au-osteopath,12,medium,False,,0.0,短いドメインの顕著な問題なし,12,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,1,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
moneyk1lt.life,0.103917785,False,0.85,low,8.959371328353882,0,,jpcert,1,0,life,FN,moneyk1lt,9,low,False,,0.0,短いドメインの顕著な問題なし,9,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"no_org,benign_cert_mitigation","has_crl_dp,long_validity",0.0,"GoDaddy.com, Inc.",1,True,"No organization (O=) field in subject | BENIGN: Has CRL Distribution Points / Long validity (366 days) / Certificate risk mitigated by benign indicators / Issuer: GoDaddy.com, Inc. || INTERPRETATIONS: [VALIDITY SAFE] Long-term certificate (366 days). Rare for phishing (1%). 27% of benign sites use long-term certs. Benign indicator.",,0.0,
fitnat.com.br,0.048046693,False,0.85,low,9.089189767837524,0,,phishtank,1,0,br,FN,fitnat,6,very_low,False,short,0.1,短い(6文字),6,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,4,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
ggetech.us,0.039023288,False,0.85,low,9.426937580108644,0,,phishtank,1,0,us,FN,ggetech,7,very_low,False,,0.0,短いドメインの顕著な問題なし,7,unknown,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,wildcard_cert",0.30000000000000004,Let's Encrypt,2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Wildcard cert (non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [WILDCARD SAFE] Wildcard certificate (*.domain): 55.1% of benign sites use this, but only 1.5% of phishing sites. Strong benign indicator.",,0.0,
gworldhomes.com,0.11552375,False,0.75,low,9.294302940368652,0,,phishtank,1,0,com,FN,gworldhomes,11,low,False,,0.0,短いドメインの顕著な問題なし,11,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,2,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator.,,0.0,
pro-puntos.cn,0.08127265,False,0.75,low,9.336936235427856,0,,phishtank,1,0,cn,FN,pro-puntos,10,very_low,True,dangerous_tld,0.25,危険TLD(cn),10,dangerous,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,1,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
aupayfirmisco.shop,0.5954416,False,0.75,low,8.818066835403442,0,,jpcert,1,1,shop,FN,aupayfirmisco,13,high,True,dangerous_tld,0.25,危険TLD(shop),13,dangerous,"brand_detected,brand_compound,brand_tld_mismatch",0.35,aupay (compound),ブランド候補 aupay (compound) を含むドメイン構造を検出,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,1,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
brickyardseries.com,0.8864019,False,0.75,low,4.561479091644287,0,,certificates,1,1,com,FN,brickyardseries,15,high,False,,0.0,短いドメインの顕著な問題なし,15,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",high_san_count,0.43000000000000005,Let's Encrypt,61,False,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: High SAN count (61, non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt",,0.0,
kerstinc.org,0.040488385,False,0.85,low,4.578583002090454,0,,phishtank,1,0,org,FN,kerstinc,8,very_low,False,,0.0,短いドメインの顕著な問題なし,8,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation","has_crl_dp,wildcard_cert",0.30000000000000004,Let's Encrypt,2,True,"Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Wildcard cert (non-dangerous TLD) / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt || INTERPRETATIONS: [SAN SAFE] SAN=2: Standard configuration (domain + www). 61.5% of benign sites use this. Only 11.3% phishing rate. Strong benign indicator. | [WILDCARD SAFE] Wildcard certificate (*.domain): 55.1% of benign sites use this, but only 1.5% of phishing sites. Strong benign indicator.",,0.0,
klzwtd.com,0.56176645,False,0.75,low,8.854979515075684,0,,phishtank,1,1,com,FN,klzwtd,6,high,False,"short,random_pattern,rare_bigram_random",0.35000000000000003,短い(6文字) / ランダム指標(母音率=0.00<0.2) / レアバイグラム検出(比率=0.200),6,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity,benign_cert_mitigation",has_crl_dp,0.4,Let's Encrypt,1,True,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) | BENIGN: Has CRL Distribution Points / Certificate risk mitigated by benign indicators / Issuer: Let's Encrypt,,0.0,
ameritecrealty.com,0.18375137,False,0.85,low,4.679248332977295,0,,jpcert,1,0,com,FN,ameritecrealty,14,low,False,,0.0,短いドメインの顕著な問題なし,14,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"free_ca,no_org,short_term,free_ca_no_org,dv_weak_identity",,0.55,Let's Encrypt,3,False,Issued by free/low-assurance CA / No organization (O=) field in subject / Short validity period (89 days ≤ 90) / Issuer: Let's Encrypt,,0.0,
volunteer-tech.com,0.46676835,False,0.75,medium,9.240158557891846,0,,jpcert,1,0,com,FN,volunteer-tech,14,medium,False,,0.0,短いドメインの顕著な問題なし,14,legitimate,,0.0,,既知ブランド名に対する明確ななりすましパターンは検出されなかった,"no_org,benign_cert_mitigation",long_validity,0.0,DigiCert Inc,1,False,No organization (O=) field in subject | BENIGN: Long validity (365 days) / Certificate risk mitigated by benign indicators / Issuer: DigiCert Inc || INTERPRETATIONS: [CA TRUSTED] Premium CA (DigiCert/GlobalSign/Entrust): Paid certificate. Rarely used by phishing sites due to cost and verification. | [VALIDITY SAFE] Extended validity (365 days). Often indicates paid certificate. Slightly more trustworthy.,,0.0,
