domain,tld,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ctx_risk_score,is_ml_paradox,ai_risk_factors,ai_reasoning,correct
myetherwallet.comko.cc,cc,0.12316029,1,0,0.75,low,0.33416666666666667,False,"['mitigated:dangerous_tld', 'mitigated:short', 'mitigated:ml_paradox_medium']","The domain 'myetherwallet.comko.cc' has a dangerous TLD (cc) and is short (5 characters), but the absence of brand elements and the low ML probability (0.12) do not constitute sufficient evidence for phishing. The contextual risk score (0.33) is below 0.50, and there is no strong non-ML signal like ",False
amejp.top,top,0.25109252,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'amejp.top' has a dangerous TLD (.top) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.25) is below 0.25, so we are conservative. The 'ml_paradox_medium' and 'dv_suspicious",True
bs2besd.cc,cc,0.1827731,0,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 'bs2besd.cc' has a dangerous TLD (cc) and shows a random pattern with low vowel ratio (0.14) and high entropy (2.24), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.18) is below 0.25 and the TLD category is 'unknown', so it's not",False
kuronekoyamat.cc,cc,0.24210162,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain kuronekoyamat.cc has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.24, ",True
chinatrz.org.cn,cn,0.14147347,0,0,0.85,low,0.11032972816666665,False,"['policy:LOW_ML_GUARD', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'chinatrz.org.cn' has a low ML probability (0.14) and contextual risk score (0.11) below 0.50. The TLD 'org.cn' is a legitimate country code top-level domain (ccTLD) for China, not a dangerous TLD. The certificate is a valid Let's Encrypt DV certificate with no organization information (f",True
beian.miit.gov.cn,cn,0.20328225,0,0,0.85,low,0.13814367916666664,False,"['mitigated:short', 'mitigated:deep_subdomain_chain']","The domain 'beian.miit.gov.cn' is a legitimate Chinese government domain (Beian is a government registration system in China). The TLD 'gov.cn' is a legitimate country code top-level domain for China. The domain has a short length but is not random (vowel_ratio=0.5, digit_ratio=0.0). The absence of ",True
slipfox.xyz,xyz,0.2555486,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'slipfox.xyz' has a dangerous TLD (xyz) and a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score is 0.42 (below 0.50), and there is no brand detection. The ML probability is 0.255 (below 0.25 threshold for dangerous TLDs) ",False
androidos.net.cn,cn,0.21516648,0,0,0.0,low,0.3516666666666667,False,[],Structured Output not available; safe fallback (Phase6).,True
specialm.cn,cn,0.19860026,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'specialm.cn' has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ml_probability (0.1986) is below 0.25, so we are c",True
secure-jp.icu,icu,0.21016133,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'secure-jp.icu' has a dangerous TLD (.icu) and a DV certificate from Let's Encrypt with no organization information, which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.21) is below 0.25, and the TLD categ",True
rxqi.cn,cn,0.22006786,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain rxqi.cn has a dangerous TLD (cn) and is short (4 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.22) is below 0.25, and the TLD category is dangerous but not a strong enough signal alone. ",True
dejoq.cn,cn,0.21166058,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'dejoq.cn' has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.21) is below 0.25, and the TLD category is dangerous but not a strong enough signal alon",True
wioenl.cn,cn,0.2413124,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org']","The domain wioenl.cn has a dangerous TLD (cn) and is short (6 characters), but the ML probability is 0.24 which is below 0.25. The contextual risk score is 0.42, which is below 0.50. There is no brand detection, but the certificate is a free Let's Encrypt DV certificate with no organization (free_ca",True
ibndesign.xyz,xyz,0.106777065,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain ibndesign.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ml_probability (0.1068) is low, and the domai",True
jllia.cn,cn,0.2012805,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:dv_suspicious_combo']","The domain jllia.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.20) is below 0.25, and the TLD category is dangerous but not a standalone risk. The 'dv_su",True
bgnroh.xyz,xyz,0.16711088,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:ml_paradox']","The domain bgnroh.xyz has a dangerous TLD (xyz) and shows signs of being short and random (6 characters, low vowel ratio 0.17, high entropy 2.58). However, the contextual risk score (0.47) is below 0.65 and the ML probability (0.167) is below 0.25. The presence of a free CA certificate (Google Trust",True
hzoq.cn,cn,0.18375921,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain hzoq.cn has a dangerous TLD (cn) and is short (4 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.18) is low, and the certificate is a free DV certificate from Let's Encrypt with no organ",True
u-m.top,top,0.11110871,1,1,0.75,high,0.4766666666666667,True,"['policy:R1', 'mitigated:very_short', 'mitigated:dangerous_tld', 'mitigated:very_short_dangerous_combo', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'u-m.top' has a very short length (3 characters) and a dangerous TLD (.top), which together form a 'very_short_dangerous_combo' risk factor. However, the contextual risk score (0.4767) is below the 0.65 threshold for automatic phishing detection. The ML probability (0.11) is low, and ther",True
accoun.lifechanger.cn,cn,0.20797981,1,0,0.75,medium,0.3225,False,['mitigated:dangerous_tld'],"The domain 'accoun.lifechanger.cn' has a dangerous TLD (cn) and a low ML probability (0.208), but the contextual risk score (0.3225) is below 0.65. The tool signals show no brand detection, no valid certificate (has_cert: false), and the domain has a moderate entropy (3.28) with a vowel ratio of 0.3",False
aprenderfotografia.online,online,0.06569138,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'aprenderfotografia.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization (free_ca, no_org), which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0657) is low",False
onlinepharmacywithoutaprescription.online,online,0.11701995,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'onlinepharmacywithoutaprescription.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.117) is low, and th",False
4.cn,cn,0.2612317,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:very_short', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain '4.cn' has a very short length (1 character) and a dangerous TLD (.cn) which is a known risk factor. However, the contextual risk score (0.42) is below 0.65 and there is no brand detection. The ML probability (0.26) is below 0.5, so we cannot rely on it alone. The 'ml_paradox_medium' and ",False
eki-co-jp.icu,icu,0.22038445,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox_medium']","The domain eki-co-jp.icu has a dangerous TLD (icu) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.22, wh",True
1xbet-ict.xyz,xyz,0.10782499,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 1xbet-ict.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.4358, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.1078",False
tiktok-video-download.top,top,0.11997236,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'tiktok-video-download.top' has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.1199) is low",False
funero.shop,shop,0.07715483,0,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'funero.shop' has a dangerous TLD ('shop') and is short (6 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.077) is low, and the certificate is a free Let's Encrypt DV certificate with no",False
hpcc.org.cn,cn,0.223251,1,0,0.85,low,0.15879628333333334,False,"['mitigated:short', 'mitigated:random_pattern']","The domain hpcc.org.cn has a low ML probability (0.22) and contextual risk score (0.1588) below 0.50, so it's not automatically flagged. The domain is short (4 characters) and shows random_pattern, but this alone isn't sufficient for phishing. The TLD .org.cn is not classified as dangerous in preche",False
seoul-massage.xyz,xyz,0.17846893,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'seoul-massage.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.178) is low, and the domain does not exhibit",False
sound.xyz,xyz,0.132559,0,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'sound.xyz' has a dangerous TLD (xyz) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.13) is low, and the certificate is a free DV certificate from Let's Encrypt with no ",False
eriuioetrt.top,top,0.1584265,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'eriuioetrt.top' has a dangerous TLD (.top) and shows signs of being a random string (low entropy, high vowel ratio), but the ML score (0.158) is below the threshold for automatic phishing detection. The contextual risk score (0.436) is below 0.65, so no automatic trigger. The 'dv_suspici",True
aaxlx.cn,cn,0.20673817,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'aaxlx.cn' has a short length (5 characters) and a dangerous TLD (.cn) which is a known risk factor. However, the ML probability is 0.2067, which is below the threshold for automatic phishing detection. The contextual risk score is 0.42, which is below 0.50, so it does not trigger an auto",True
hacktricks.xyz,xyz,0.100131385,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain hacktricks.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.4358, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.10,",False
675.cc,cc,0.12969506,0,1,0.75,high,0.4766666666666667,True,"['policy:R1', 'mitigated:very_short', 'mitigated:dangerous_tld', 'mitigated:very_short_dangerous_combo']","The domain 675.cc has a very short length (3 characters) and a dangerous TLD (cc), forming a very_short_dangerous_combo. However, the contextual risk score (0.477) is below 0.65, and there is no brand detection. The ML probability (0.1297) is low, and the domain does not show strong brand impersonat",False
y6956.cc,cc,0.17201412,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:short', 'mitigated:dangerous_tld', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain y6956.cc has a short length (5 characters) and a dangerous TLD (cc), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.17) is low, and the certificate is a free DV certificate from Let's Encrypt with n",True
himchistka-divan-mebel-borisov-zhodino.online,online,0.14028536,0,1,0.75,high,0.45333333333333337,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'himchistka-divan-mebel-borisov-zhodino.online' has a dangerous TLD ('online') and a free CA certificate with no organization (free_ca, no_org) which are risk factors. However, the contextual risk score (0.45) is below 0.50, and there is no brand detection. The ML probability (0.14) is lo",False
kra29s.cc,cc,0.083090186,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain kra29s.cc has a short length (6 characters), dangerous TLD (cc), and shows random pattern characteristics with low vowel ratio (0.17) and high entropy (2.58). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.083) is low, and t",False
cgpdzw.top,top,0.2535234,1,1,0.75,high,0.42,False,"['ml_paradox_medium', 'dv_suspicious_combo', 'policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:random_pattern', 'mitigated:short']","The domain 'cgpdzw.top' has a short length (6 characters), dangerous TLD (.top), and shows signs of random pattern with very low vowel ratio (0.0). The ML score is 0.2535, which is below the 0.25 threshold for being conservative. The contextual risk score is 0.42, which is below 0.65, so ML alone do",True
cybernexahub.shop,shop,0.11375837,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'cybernexahub.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ML probability (0.1137) is low, and the domain does not exhib",False
smbc-cardnm.icu,icu,0.13551003,1,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain smbc-cardnm.icu has a dangerous TLD (icu) and shows signs of a random pattern (high entropy, low vowel ratio), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.135) is low and does not meet the threshold for phishing. The risk fact",True
horariodebrasilia.top,top,0.061180748,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'horariodebrasilia.top' has a dangerous TLD (.top) and a DV certificate from Let's Encrypt with no organization information (free_ca, no_org), which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.061) is ",False
tolls.txtagifuw.cc,cc,0.1564147,1,0,0.75,low,0.3225,False,['mitigated:dangerous_tld'],"The domain 'tolls.txtagifuw.cc' has a dangerous TLD (cc) and a low ML probability (0.156), but the contextual risk score (0.3225) is below the 0.65 threshold for automatic phishing detection. The domain shows no brand elements, no certificate, and a normal domain length. The ml_paradox_medium issue ",False
asrksfog.click,click,0.28712583,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'asrksfog.click' has a dangerous TLD ('click') and a free CA certificate with no organization (free_ca, no_org), which are significant risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.287) is below 0.50, so it do",True
biepo.cn,cn,0.25513533,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox_medium']","The domain biepo.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.255) is below 0.25, so we cannot rely on it alone. The 'ml_paradox_medium' and 'dv_suspici",True
herramientasharo.shop,shop,0.053346943,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'herramientasharo.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.053) is low, and the domain does not ex",False
hydroplaq.top,top,0.13600312,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain hydroplaq.top has a dangerous TLD (.top) and shows signs of a DV certificate with free CA and no organization (free_ca, no_org), which are risk factors. However, the contextual risk score is 0.4358, below the 0.65 threshold for automatic phishing detection. The ML probability is 0.136, wh",False
ljl32.cc,cc,0.24153993,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain ljl32.cc has a short length (5 characters), dangerous TLD (.cc), and shows signs of random pattern with very low vowel ratio (0.0) and high entropy (1.92). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.24) is below 0.25, an",False
rewards-ff-garena-com.top,top,0.092684455,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain rewards-ff-garena-com.top has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.0927) is low, ",True
vulkanroyal-officiales.click,click,0.09377157,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'vulkanroyal-officiales.click' has a dangerous TLD ('click') and shows signs of a free CA certificate (no org, free_ca) which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0938) is low, and the domain do",False
mayfourteen.xyz,xyz,0.08720266,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'mayfourteen.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate with free CA and no org, but the contextual risk score (0.4358) is below 0.65 and there's no brand detection. The ml_probability (0.087) is low and the domain is not a random pattern. The risk factors 'dangero",False
hablw.cn,cn,0.11328053,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'hablw.cn' has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.113) is low, and the certificate is a free Let's Encrypt DV certificate with no organi",True
dshous.cn,cn,0.1496637,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain dshous.cn has a dangerous TLD (cn) and is short (6 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.1496637) is low, and the domain is not a known brand. The 'ml_paradox' and 'dv_suspicio",True
hupaw.cn,cn,0.15691748,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain hupaw.cn has a dangerous TLD (cn) and is short (5 characters), but no brand elements were detected. The ML score is 0.1569 (very low) and the contextual risk score is 0.4475, which is below the 0.65 threshold for automatic phishing detection. The 'ml_paradox' and 'dv_suspicious_combo' sig",True
g-jp.top,top,0.078013405,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain 'g-jp.top' has a dangerous TLD (.top) and shows signs of being short and random (4 characters, 0 vowels, 0 digits). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.078) is low, and the certificate is a free DV certificate fro",True
krn34.shop,shop,0.14209837,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'krn34.shop' has a short length (5 characters), dangerous TLD ('shop' is categorized as dangerous), and shows a random pattern with high entropy (2.32) and low vowel ratio (0.0). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (",False
s.teamw.cc,cc,0.07643831,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 's.teamw.cc' has a low ML probability (0.076) and a contextual risk score of 0.4475, which is below the 0.65 threshold for automatic phishing detection. While it shows some risk signals like 'dangerous_tld' (cc) and 'dv_suspicious_combo' (free CA with no org), these are mitigated because ",True
synthroidcr.online,online,0.22249207,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain synthroidcr.online has a dangerous TLD (online) and shows a random pattern with low vowel ratio (0.18) and high entropy (3.28), but the contextual risk score (0.42) is below 0.50 and the ML probability (0.22) is below 0.25. The absence of detected brands and the presence of a free CA cert",False
